ANID,Site,Fe,Rb,Sr,Zr,Ba,Ce
BUR-156,Chupas,0.49,127,56,82,198,20
BUR-157,Chupas,0.47,126,57,85,188,37
BUR-158,Chupas,0.47,126,56,88,186,38
BUR-159,Chupas,0.53,190,140,99,739,40
BUR-160,Chupas,0.47,133,53,84,193,31
BUR-161,Cerro Pucara,0.46,265,42,78,126,37
BUR-162,Cerro Pucara,0.48,293,43,85,150,36
BUR-163,Cerro Pucara,0.50,276,45,78,135,28
BUR-164,Cerro Pucara,0.49,279,44,79,136,61
BUR-165,Cerro Pucara,0.47,269,42,76,121,43
BUR-166,Jachalaca,0.48,270,43,79,131,46
BUR-167,Jachalaca,0.46,266,43,74,127,30
BUR-168,Jachalaca,0.47,273,46,81,143,38
BUR-169,Jachalaca,0.48,274,40,77,134,33
BUR-170,Jachalaca,0.49,273,43,81,138,50
BUR-171,Quelkata,0.48,265,40,82,119,39
BUR-172,Quelkata,0.48,272,38,77,129,28
BUR-173,Quelkata,0.49,276,37,76,131,36
BUR-174,Quelkata,0.46,269,44,80,127,35
BUR-175,Quelkata,0.49,273,38,81,114,40
BUR-176,Huillca Raccay,0.53,156,84,105,1083,70
BUR-177,Huillca Raccay,0.54,154,79,101,1117,50
BUR-178,Huiltocco,0.45,255,40,77,112,35
BUR-179,Huiltocco,0.49,265,43,77,136,41
BUR-180,Huiltocco,0.48,267,39,82,138,40
BUR-181,Huiltocco,0.47,275,39,82,134,27
BUR-182,Huiltocco,0.49,268,43,77,137,34
BUR-183,Cabanaconde,0.49,278,40,82,128,25
BUR-184,Cabanaconde,0.47,273,35,77,130,42
BUR-185,Pachamachay,0.54,195,137,101,762,24
BUR-186,Pachamachay,0.86,150,171,60,844,26
BUR-187,Pachamachay,0.54,194,130,100,745,55
BUR-188,Vizcachani,0.47,268,40,78,132,28
BUR-189,Vizcachani,0.45,256,40,77,134,42
BUR-190,Wichgana,0.54,188,136,98,739,56
BUR-191,Wichgana,0.54,183,130,95,736,46
